date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2016-10-17,,5,,,,10000.0,2,
2016-10-18,,192,,,,0.0,93,
2016-10-19,,265,,,,500.0,134,
2016-10-20,,268,,,,0.0,122,
2016-10-21,,275,,,,0.0,110,
2016-10-22,,209,,,,0.0,87,
2016-10-23,,142,,,,0.0,63,
2016-10-24,,204,,,,0.0,92,
2016-10-25,,393,,,,0.0,195,
2016-10-26,,166,,,,0.0,93,
2016-10-27,,165,,,,17000.0,86,
2016-10-28,,173,,,,20500.0,81,
2016-10-29,,211,,,,0.0,75,
2016-10-30,,100,,,,0.0,64,
2016-10-31,,176,,,,0.0,76,
2016-11-01,,119,,,,0.0,57,
2016-11-02,,70,,,,0.0,39,
2016-11-03,,70,,,,0.0,32,
2016-11-04,,46,,,,10000.0,31,
2016-11-05,,51,,,,0.0,28,
2016-11-06,,38,,,,0.0,22,
2016-11-07,,65,,,,0.0,29,
2016-11-08,,59,,,,0.0,25,
2016-11-09,,32,,,,0.0,21,
2016-11-10,,109,,,,10500.0,52,
2016-11-11,,369,,,,11000.0,166,
2016-11-12,,66,,,,0.0,38,
2016-11-13,,52,,,,0.0,24,
2016-11-14,,152,,,,0.0,69,
2016-11-15,,106,,,,0.0,56,
2016-11-16,,72,,,,0.0,36,
2016-11-17,,67,,,,0.0,30,
2016-11-18,,97,,,,0.0,40,
2016-11-19,,62,,,,0.0,37,
2016-11-20,,22,,,,0.0,15,
2016-11-21,,137,,,,0.0,52,
2016-11-22,,48,,,,0.0,29,
2016-11-23,,67,,,,0.0,29,
2016-11-24,,74,,,,0.0,40,
2016-11-25,,49,,,,0.0,26,
2016-11-26,,31,,,,0.0,18,
2016-11-27,,49,,,,0.0,26,
2016-11-28,,107,,,,0.0,53,
2016-11-29,,64,,,,0.0,34,
2016-11-30,,41,,,,0.0,21,
2016-12-01,,64,,,,0.0,36,
2016-12-02,,73,,,,0.0,40,
2016-12-03,,43,,,,0.0,24,
2016-12-04,,52,,,,0.0,24,
2016-12-05,,102,,,,0.0,49,
2016-12-06,,73,,,,0.0,34,
2016-12-07,,64,,,,0.0,31,
2016-12-08,,95,,,,0.0,52,
2016-12-09,,36,,,,0.0,22,
2016-12-10,,21,,,,0.0,13,
2016-12-11,,26,,,,0.0,16,
2016-12-12,,20,,,,500.0,14,
2016-12-13,,25,,,,0.0,17,
2016-12-14,,26,,,,10500.0,17,
2016-12-15,,31,,,,0.0,19,
2016-12-16,,23,,,,0.0,16,
2016-12-17,,14,,,,0.0,9,
2016-12-18,,17,,,,0.0,14,
2016-12-19,,18,,,,0.0,13,
2016-12-20,,20,,,,0.0,10,
2016-12-21,,95,,,,0.0,40,
2016-12-22,,85,,,,0.0,48,
2016-12-23,,28,,,,0.0,19,
2016-12-24,,33,,,,0.0,18,
2016-12-25,,29,,,,0.0,23,
2016-12-26,,67,,,,0.0,36,
2016-12-27,,44,,,,0.0,36,
2016-12-28,,17,,,,0.0,12,
2016-12-29,,39,,,,0.0,19,
2016-12-30,,51,,,,0.0,21,
2016-12-31,,,,,,,,
2017-01-01,,,,,,,,
2017-01-02,,19,,,,0.0,11,
2017-01-03,,40,,,,0.0,21,
2017-01-04,,104,,,,0.0,59,
2017-01-05,,54,,,,0.0,34,
2017-01-06,,37,,,,0.0,15,
2017-01-07,,26,,,,0.0,18,
2017-01-08,,28,,,,0.0,15,
2017-01-09,,25,,,,0.0,10,
2017-01-10,,31,,,,0.0,20,
2017-01-11,,29,,,,0.0,18,
2017-01-12,,23,,,,0.0,15,
2017-01-13,,42,,,,0.0,26,
2017-01-14,,25,,,,0.0,21,
2017-01-15,,20,,,,0.0,11,
2017-01-16,,14,,,,0.0,9,
2017-01-17,,35,,,,0.0,21,
2017-01-18,,29,,,,11000.0,20,
2017-01-19,,24,,,,0.0,14,
2017-01-20,,45,,,,0.0,16,
2017-01-21,,17,,,,0.0,8,
2017-01-22,,9,,,,0.0,5,
2017-01-23,,23,,,,0.0,10,
2017-01-24,,35,,,,0.0,9,
2017-01-25,,,,,,,,
2017-01-26,,,,,,,,
2017-01-27,,,,,,,,
2017-01-28,,10,,,,0.0,5,
2017-01-29,,6,,,,0.0,4,
2017-01-30,,13,,,,0.0,9,
2017-01-31,,13,,,,0.0,7,
2017-02-01,,15,,,,0.0,9,
2017-02-02,,7,,,,0.0,4,
2017-02-03,,34,,,,0.0,15,
2017-02-04,,11,,,,0.0,8,
2017-02-05,,,,,,,,
2017-02-06,,,,,,,,
2017-02-07,,28,,,,0.0,19,
2017-02-08,,,,,,,,
2017-02-09,,,,,,,,
2017-02-10,,11,,,,0.0,8,
2017-02-11,,,,,,,,
2017-02-12,,,,,,,,
2017-02-13,,37,,,,0.0,18,
2017-02-14,,16,,,,0.0,10,
2017-02-15,,16,,,,0.0,11,
2017-02-16,,24,,,,0.0,12,
2017-02-17,,,,,,,,
2017-02-18,,,,,,,,
2017-02-19,,14,,,,0.0,4,
2017-02-20,,,,,,,,
2017-02-21,,,,,,,,
2017-02-22,,32,,,,0.0,21,
2017-02-23,,26,,,,0.0,15,
2017-02-24,,18,,,,0.0,9,
2017-02-25,,11,,,,0.0,8,
2017-02-26,,,,,,,,
2017-02-27,,,,,,,,
2017-02-28,,9,,,,0.0,6,
2017-03-01,,16,,,,0.0,12,
2017-03-02,,26,,,,0.0,17,
2017-03-03,,10,,,,0.0,8,
2017-03-04,,7,,,,0.0,5,
2017-03-05,,,,,,,,
2017-03-06,,,,,,,,
2017-03-07,,21,,,,0.0,15,
2017-03-08,,,,,,,,
2017-03-09,,,,,,,,
2017-03-10,,21,,,,0.0,14,
2017-03-11,,27,,,,0.0,16,
2017-03-12,,45,,,,0.0,24,
2017-03-13,,30,,,,0.0,17,
2017-03-14,,16,,,,0.0,12,
2017-03-15,,18,,,,0.0,12,
2017-03-16,,36,,,,10500.0,16,
2017-03-17,,17,,,,0.0,9,
2017-03-18,,45,,,,0.0,27,
2017-03-19,,28,,,,0.0,21,
2017-03-20,,21,,,,10500.0,14,
2017-03-21,,,,,,,,
2017-03-22,,,,,,,,
2017-03-23,,49,,,,0.0,37,
2017-03-24,,43,,,,0.0,22,
2017-03-25,,13,,,,0.0,11,
2017-03-26,,11,,,,0.0,10,
2017-03-27,,22,,,,0.0,16,
2017-03-28,,59,,,,0.0,34,
2017-03-29,,44,,,,0.0,22,
2017-03-30,,19,,,,0.0,14,
2017-03-31,,11,,,,0.0,8,
2017-04-01,,15,,,,0.0,12,
2017-04-02,,9,,,,0.0,5,
2017-04-03,,23,,,,0.0,13,
2017-04-04,,15,,,,0.0,7,
2017-04-05,,23,,,,0.0,16,
2017-04-06,,19,,,,0.0,14,
2017-04-07,,13,,,,0.0,7,
2017-04-08,,8,,,,0.0,6,
2017-04-09,,18,,,,0.0,10,
2017-04-10,,31,,,,0.0,21,
2017-04-11,,27,,,,0.0,17,
2017-04-12,,22,,,,0.0,11,
2017-04-13,,19,,,,0.0,13,
2017-04-14,,13,,,,0.0,8,
2017-04-15,,16,,,,0.0,11,
2017-04-16,,19,,,,0.0,12,
2017-04-17,,42,,,,0.0,21,
2017-04-18,,31,,,,10000.0,21,
2017-04-19,,24,,,,21000.0,12,
2017-04-20,,22,,,,0.0,16,
2017-04-21,,10,,,,0.0,10,
2017-04-22,,9,,,,0.0,7,
2017-04-23,,16,,,,0.0,13,
2017-04-24,,12,,,,500.0,9,
2017-04-25,,32,,,,0.0,18,
2017-04-26,,9,,,,0.0,9,
2017-04-27,,28,,,,0.0,18,
2017-04-28,,24,,,,0.0,18,
2017-04-29,,48,,,,0.0,35,
2017-04-30,,47,,,,0.0,29,
2017-05-01,,52,,,,0.0,31,
2017-05-02,,32,,,,0.0,21,
2017-05-03,,28,,,,0.0,20,
2017-05-04,,52,,,,10000.0,30,
2017-05-05,,71,,,,0.0,47,
2017-05-06,,64,,,,0.0,42,
2017-05-07,,47,,,,10000.0,38,
2017-05-08,,65,,,,0.0,39,
2017-05-09,,25,,,,0.0,19,
2017-05-10,,,,,,,,
2017-05-11,,,,,,,,
2017-05-12,,26,,,,0.0,22,
2017-05-13,,18,,,,0.0,14,
2017-05-14,,,,,,,,
2017-05-15,,,,,,,,
2017-05-16,,17,,,,0.0,11,
2017-05-17,,,,,,,,
2017-05-18,,,,,,,,
2017-05-19,,58,,,,500.0,28,
2017-05-20,,50,,,,0.0,35,
2017-05-21,,31,,,,0.0,16,
2017-05-22,,52,,,,0.0,23,
2017-05-23,,127,,,,0.0,35,
2017-05-24,,86,,,,0.0,45,
2017-05-25,,62,,,,0.0,35,
2017-05-26,,28,,,,0.0,15,
2017-05-27,,53,,,,0.0,24,
2017-05-28,,51,,,,0.0,20,
2017-05-29,,52,,,,0.0,22,
2017-05-30,,47,,,,0.0,22,
2017-05-31,,36,,,,0.0,25,
2017-06-01,,23,,,,0.0,17,
2017-06-02,,26,,,,0.0,14,
2017-06-03,,10,,,,0.0,7,
2017-06-04,,16,,,,0.0,11,
2017-06-05,,19,,,,0.0,14,
2017-06-06,,17,,,,20000.0,14,
2017-06-07,,42,,,,500.0,30,
2017-06-08,,57,,,,10500.0,27,
2017-06-09,,30,,,,0.0,21,
2017-06-10,,44,,,,0.0,20,
2017-06-11,,48,,,,0.0,31,
2017-06-12,,52,,,,0.0,25,
2017-06-13,,83,,,,0.0,32,
2017-06-14,,35,,,,0.0,24,
2017-06-15,,52,,,,0.0,28,
2017-06-16,,38,,,,0.0,26,
2017-06-17,,127,,,,0.0,63,
2017-06-18,,69,,,,0.0,48,
2017-06-19,,250,,,,0.0,127,
2017-06-20,,214,,,,0.0,98,
2017-06-21,,120,,,,0.0,64,
2017-06-22,,143,,,,0.0,73,
2017-06-23,,122,,,,0.0,79,
2017-06-24,,177,,,,0.0,117,
2017-06-25,,289,,,,0.0,167,
2017-06-26,,351,,,,0.0,191,
2017-06-27,,407,,,,0.0,236,
2017-06-28,,464,,,,0.0,257,
2017-06-29,,641,,,,0.0,345,
2017-06-30,,645,,,,0.0,330,
2017-07-01,,564,,,,0.0,325,
2017-07-02,,590,,,,0.0,348,
2017-07-03,,705,,,,0.0,360,
2017-07-04,,633,,,,500.0,398,
2017-07-05,,547,,,,0.0,335,
2017-07-06,43938.3849353,524,0.0,1.78,121304.0,1e-08,352,
2017-07-07,106375.503827,599,0.0,1.72,143068.0,0.0,374,
2017-07-08,30887.9905285,691,0.0,2.01,76060.0,0.0,405,
2017-07-09,29677.3250147,537,0.0,1.81,67816.0,0.0,366,
2017-07-10,63765.3383031,659,0.0,2.11,93634.0,0.0,432,
2017-07-11,92473.926576,697,0.0,2.06,152548.0,0.0,429,
2017-07-12,182556.777103,739,0.0,2.16,170201.0,0.0,452,
2017-07-13,234762.329956,845,0.0,2.67,194312.0,0.0,529,
2017-07-14,236719.358653,698,0.0,3.24,140144.0,0.0,442,
2017-07-15,37434.1797676,579,0.0,2.8,80640.0,0.0,383,
2017-07-16,30117.2989247,544,0.0,1.85,59502.0,0.0,374,
2017-07-17,21161.9367708,522,0.0,1.96,45349.0,0.0,364,
2017-07-18,32479.9638071,544,0.0,2.11,56900.0,0.0,399,
2017-07-19,71028.3687237,532,0.0,2.28,55994.0,0.0,376,
2017-07-20,22218.542216,527,0.0,2.16,52171.0,0.0,395,
2017-07-21,12826.8566357,566,0.0,2.18,61106.0,0.0,406,
2017-07-22,12860.1763344,491,0.0,2.19,87787.0,0.0,385,
2017-07-23,51771.938825,597,0.0,2.43,87052.0,0.0,446,
2017-07-24,36836.2422133,609,0.0,2.57,50053.0,0.0,442,
2017-07-25,11810.9470015,545,0.0,2.68,68301.0,0.0,403,
2017-07-26,27493.0730769,528,0.0,2.56,59517.0,0.0,384,
2017-07-27,22083.4595941,486,0.0,2.51,53595.0,0.0,352,
2017-07-28,27180.0537807,555,0.0,2.6,215153.0,0.0,403,
2017-07-29,46111.7756819,477,0.0,2.54,207953.0,0.0,333,
2017-07-30,9131.27827181,478,0.0,2.51,214101.0,0.0,359,
2017-07-31,40637.0139556,495,0.0,2.51,198893.0,0.0,381,
2017-08-01,27069.1127099,621,0.0,2.32,230750.0,9.4e-07,427,
2017-08-02,71747.9128561,668,7018417.0,2.4,258061.0,2e-08,477,
2017-08-03,66236.225242,974,6928275.0,2.37,306871.0,0.0,685,
2017-08-04,119421.920779,1082,7109470.0,2.43,304007.0,5.6e-06,757,
2017-08-05,124244.639447,1139,8344339.0,2.85,361861.0,0.0,746,
2017-08-06,1726778.31227,1539,10661010.0,3.64,395513.0,2e-08,973,
2017-08-07,42033228.5023,2673,12222899.0,4.18,1017640.0,1.4e-07,1495,
2017-08-08,2563333.42384,5279,23194272.0,7.92,2261940.0,1.3e-07,2352,
2017-08-09,2993718.83008,10130,30882026.0,10.55,12738800.0,3.6e-07,3895,
2017-08-10,5702946.90102,15952,70786672.0,24.18,8774840.0,5.6e-07,5464,
2017-08-11,2663540.90382,12903,60388184.0,20.63,3564800.0,2.3e-07,4762,
2017-08-12,890750.698385,9448,51673360.0,17.65,2861160.0,1e-07,4052,
2017-08-13,3726369.92754,3915,49761396.0,17.0,5659100.0,3e-07,2573,
2017-08-14,3760440.31328,15377,80705760.0,27.57,8351290.0,7e-07,6503,
2017-08-15,11276609.13,14260,99548632.0,34.01,6518010.0,5.1e-07,5946,
2017-08-16,2075414.79026,13336,95474272.0,32.62,4410840.0,3.6e-07,5765,
2017-08-17,2059652.27006,13186,105425920.0,36.01,3337770.0,6.3e-07,5997,
2017-08-18,4658164.91419,12150,93985496.0,32.11,3120270.0,7.6e-07,5611,
2017-08-19,1428236.63224,11033,85618144.0,29.25,2329640.0,6.4e-07,5056,
2017-08-20,1529382.80281,12173,95695232.0,32.69,1522630.0,491.00000066,5492,
2017-08-21,665412.785736,11910,86281536.0,29.47,1605980.0,6.2e-07,5664,
2017-08-22,1643403.80462,11013,74664608.0,25.51,1721320.0,3.4e-07,5429,
2017-08-23,2053223.55442,12974,70980984.0,24.25,1339760.0,5.2e-07,6340,
2017-08-24,511077.988778,12066,203496112.0,24.7,1052500.0,5e-07,5718,
2017-08-25,407167.643813,11676,205125872.0,24.87,936671.0,4.4e-07,5568,
2017-08-26,239858.409327,10426,190511360.0,23.08,712479.0,3.4e-07,5050,
2017-08-27,335077.402087,10586,177574592.0,21.5,704800.0,4e-07,5219,
2017-08-28,1279970.54737,11421,159664672.0,19.33,626972.0,7.1e-07,5630,
2017-08-29,447134.362914,14321,163397232.0,19.77,939405.0,1.11e-06,7225,
2017-08-30,423070.564284,12541,152831216.0,18.48,926704.0,7.3e-07,6181,
2017-08-31,657673.146543,13172,165474368.0,19.99,642261.0,5.2e-07,6307,
2017-09-01,343082.393007,13692,140014480.0,16.91,534726.0,6.6e-07,6456,
2017-09-02,185915.132579,12005,123804760.0,14.94,619252.0,5.2e-07,5320,
2017-09-03,307004.080385,10999,118953376.0,14.35,503554.0,6.4e-07,5184,
2017-09-04,2484665.97294,14232,102293336.0,12.33,960225.0,0.2000007,7310,
2017-09-05,376051.439866,11429,85168192.0,10.25,656651.0,3.2e-07,5631,
2017-09-06,3755834.64199,11641,91918488.0,11.05,378789.0,4e-07,6179,
2017-09-07,1235324.2089,13360,72799912.0,8.74,994037.0,7.2e-07,6977,
2017-09-08,1113302.33282,10114,130343032.0,15.64,518904.0,4.6e-07,5205,
2017-09-09,319346.325003,6967,94079488.0,11.28,521416.0,2.4e-07,3498,
2017-09-10,870295.071312,7689,95244288.0,11.41,225618.0,2.8e-07,3816,
2017-09-11,161375.702795,8017,90897808.0,10.88,185764.0,3.6e-07,4177,
2017-09-12,247881.149166,7755,90143032.0,10.78,247913.0,3.4e-07,4186,
2017-09-13,434225.530826,7415,80847016.0,9.67,147360.0,3e-07,3896,
2017-09-14,660799.59881,9109,78487128.0,9.38,1634110.0,8.2e-07,4813,
2017-09-15,883516.506039,10595,91185928.0,10.88,1171590.0,8.2e-07,5527,
2017-09-16,2933345.72648,9400,98222064.0,11.71,394659.0,990.00000026,4839,
2017-09-17,437132.697335,7394,87305024.0,10.4,198174.0,2.2e-07,4004,
2017-09-18,389144.818469,8857,82125016.0,9.78,322222.0,4e-07,4856,
2017-09-19,327554.140552,8926,91206688.0,10.85,290436.0,3.6e-07,4557,
2017-09-20,137266.902982,6933,77781936.0,9.24,117765.0,2.8e-07,3876,
2017-09-21,447594.143508,7531,75321848.0,8.95,746725.0,4.8e-07,3964,
2017-09-22,1689755.1066,12431,91411912.0,10.85,5282920.0,2.1e-06,6315,
2017-09-23,666332.252472,9048,127683592.0,15.13,1800130.0,7.5e-07,4863,
2017-09-24,445262.559514,8037,139272208.0,16.49,768093.0,5.6e-07,4370,
2017-09-25,1154355.50381,14235,128582952.0,15.22,5034440.0,1.28e-06,7470,
2017-09-26,7968287.28037,16152,219810608.0,25.99,4695480.0,1.84e-06,8300,
2017-09-27,1433755.67344,14129,215120832.0,25.39,2502100.0,1.16e-06,7731,
2017-09-28,1978676.11194,12009,223695056.0,26.37,2105510.0,6.6e-07,6211,
2017-09-29,881065.803651,9562,194224480.0,22.88,896609.0,5.2e-07,4907,
2017-09-30,1960177.05461,11464,187291856.0,22.05,3776920.0,1.06e-06,6173,
2017-10-01,8229552.18378,11180,263138544.0,30.97,4221780.0,1.22e-06,6393,
2017-10-02,1874510.93114,15393,256756000.0,30.2,3103540.0,1.18e-06,7964,
2017-10-03,1507433.88454,12321,269498912.0,31.68,2837580.0,9.6e-07,6410,
2017-10-04,987867.601749,11274,233646432.0,27.45,2116770.0,1.07e-06,6145,
2017-10-05,973825.677882,12256,247107024.0,29.0,1646560.0,1.02e-06,6727,
2017-10-06,741632.391596,13082,250864048.0,29.43,1111600.0,0.04400085,7061,
2017-10-07,1314267.72977,15718,238213424.0,27.93,1659250.0,0.0060012,8354,
2017-10-08,1591980.87815,36508,239412336.0,28.03,1458980.0,519.56400157,16440,
2017-10-09,4867340.53612,10695,200919104.0,23.5,1015350.0,0.09900068,6239,
2017-10-10,675055.328779,10719,194890560.0,22.78,1146210.0,0.09000063,5977,
2017-10-11,756329.159852,10867,199116752.0,23.26,868526.0,0.17100074,6325,
2017-10-12,774060.733371,9547,196441392.0,22.93,1283980.0,0.05300048,5615,
2017-10-13,503886.742966,13920,179379056.0,20.93,1497290.0,0.03200066,9102,
2017-10-14,568912.323711,8586,208541984.0,24.32,633763.0,0.02100066,5070,
2017-10-15,657849.220364,11211,196483632.0,22.89,573523.0,83.09200056,7567,
2017-10-16,677089.211274,8971,189559968.0,22.07,775565.0,0.02400062,5366,
2017-10-17,5325781.66677,12279,188520224.0,21.93,1080370.0,0.0650006,7029,
2017-10-18,688916.445761,9785,188227488.0,21.89,763597.0,0.0170005,5542,
2017-10-19,870828.956312,9197,178633664.0,20.78,1139280.0,0.02000034,5293,
2017-10-20,334069.575033,8021,173285632.0,20.16,610262.0,0.02900039,5065,
2017-10-21,352187.0589,7830,168963664.0,19.65,477061.0,0.00600038,4679,
2017-10-22,331674.592589,10336,163830816.0,19.06,504257.0,0.00900026,7401,
2017-10-23,480585.536451,8951,178827776.0,20.8,942203.0,0.04000042,5436,
2017-10-24,751279.135362,12653,163998864.0,19.08,1644220.0,0.02100098,7366,
2017-10-25,329346.385912,8419,174836432.0,20.34,447244.0,0.03800038,5047,
2017-10-26,580982.083065,11034,164335680.0,19.12,756739.0,1.08800039,5849,
2017-10-27,511712.895806,10563,160628512.0,18.68,660990.0,7.00105028,5847,
2017-10-28,451768.889219,9548,166495152.0,19.37,499082.0,3.3330003,5422,
2017-10-29,364674.279267,11740,149875408.0,17.43,5979020.0,1.21900022,7962,
2017-10-30,533095.037784,9156,154126224.0,17.93,775064.0,0.12600055,5515,
2017-10-31,555771.860421,9135,162098560.0,18.86,870552.0,0.0870004,5469,
2017-11-01,475113.327085,8979,150459568.0,17.5,968366.0,1.05000052,5344,
2017-11-02,440047.241408,8787,132077720.0,15.36,1254240.0,0.04600048,5372,
2017-11-03,808660.367782,8238,130788672.0,15.21,1076790.0,0.0200004,5036,
2017-11-04,268628.988661,6994,148033168.0,17.22,497484.0,0.01700039,4314,
2017-11-05,341186.738403,10539,146439664.0,17.03,444008.0,0.02700034,7439,
2017-11-06,406404.379316,8443,144354832.0,16.79,577160.0,0.0190004,5037,
2017-11-07,499474.309607,10297,147735024.0,17.18,559894.0,0.01300046,5709,
2017-11-08,1124742.81573,13825,153455040.0,17.85,1690730.0,0.02200075,8001,
2017-11-09,1376475.45393,14340,187518416.0,21.81,2447490.0,0.03600081,8098,
2017-11-10,1329434.14773,10824,198734608.0,23.12,1107640.0,0.07400038,6339,
2017-11-11,1465906.88477,10145,171804208.0,19.98,1089910.0,3.47300042,5321,
2017-11-12,770333.422761,9293,171958848.0,20.0,938558.0,0.20500036,5272,
2017-11-13,8219133.47154,10917,161548112.0,18.79,782363.0,0.05600031,6589,
2017-11-14,494433.778237,10488,169767360.0,19.75,593224.0,980.09000038,6021,
2017-11-15,609301.306997,10028,173756976.0,20.21,2944170.0,0.03900037,5933,
2017-11-16,548956.658044,9715,190150096.0,22.12,2586450.0,0.07300024,5828,
2017-11-17,5085842.26788,16337,166861264.0,19.41,3941120.0,0.05500044,10302,
2017-11-18,3552248.12047,24041,218225888.0,25.38,8129950.0,0.10600095,13483,
2017-11-19,2229264.4257,15793,236566352.0,27.52,4531360.0,0.07800024,8584,
2017-11-20,1734347.4164,15125,207941872.0,24.19,2913620.0,0.12100022,8120,
2017-11-21,1378718.00455,12310,185658304.0,21.6,1708960.0,0.07100014,6686,
2017-11-22,796809.241399,11719,185339136.0,21.56,1413810.0,0.0280001,6567,
2017-11-23,1549178.2462,10951,182276000.0,21.2,2004120.0,0.15610014,6069,
2017-11-24,695018.340202,10436,169991568.0,19.77,1355170.0,0.18800014,5792,
2017-11-25,917829.238341,12657,178783616.0,20.8,1932920.0,0.16900024,7142,
2017-11-26,1529955.29662,12499,190772752.0,22.19,1642730.0,0.32200016,7077,
2017-11-27,1619987.67976,14108,194332992.0,22.6,1522170.0,1.1340002,8031,
2017-11-28,995342.161321,12747,190917088.0,22.21,1704100.0,0.22600016,7473,
2017-11-29,1694429.11316,13152,186173600.0,21.66,2294410.0,0.1660002,7677,
2017-11-30,955247.082416,11039,158732560.0,18.46,1758230.0,0.027,6303,
2017-12-01,1362475.21131,12523,162040400.0,18.85,1182360.0,1.33600008,7098,
2017-12-02,626203.95821,12099,166005696.0,19.31,1281170.0,0.07500012,6827,
2017-12-03,6871651.64804,15879,167185888.0,19.45,1329950.0,0.17700016,9294,
2017-12-04,1195858.76128,15297,171864592.0,19.99,3095580.0,0.24500012,8657,
2017-12-05,815467.829269,12660,189964752.0,22.1,1548160.0,1.17100008,7625,
2017-12-06,5649347.82199,12880,179318624.0,20.86,2790560.0,0.09300012,7445,
2017-12-07,701070.680458,13804,157324304.0,18.3,2739830.0,0.11900014,7564,
2017-12-08,587070.677502,127150,149136080.0,17.35,2956780.0,35.6690001,41891,
2017-12-09,610778.68956,134514,163693728.0,19.04,1709240.0,34.34400012,56192,
2017-12-10,539943.669509,10166,158672912.0,18.46,1742160.0,0.19300008,5962,
2017-12-11,530060.995707,12312,144829584.0,16.85,1581190.0,0.1270001,7225,
2017-12-12,747176.99084,14507,156785552.0,18.24,2061100.0,490.08800014,8515,
2017-12-13,1192406.86461,17931,163619008.0,19.03,5000820.0,0.3010001,10318,
2017-12-14,1212392.33739,18130,187690752.0,21.83,4794140.0,0.1870002,10130,
